అ	a
ఆకాశాన్నంటుతున్న	aa k aa sh aa n n a q tx u t u n n a
ఆకాశం	aa k aa sh a q
ఆకాశంలో	aa k aa sh a q l oo
ఆకాశంలోంచి	aa k aa sh a q l oo q c i
ఆకాష్	aa k aa sx
ఆకాంక్షని	aa k aa q k sx a n i
ఆకాంక్షను	aa k aa q k sx a n u
ఆకాంక్షపై	aa k aa q k sx a p ai
ఆకాంక్షలకు	aa k aa q k sx a l a k u
ఆకాంక్షలపై	aa k aa q k sx a l a p ai
ఆకాంక్షలు	aa k aa q k sx a l u
ఆకాంక్షిద్దాం	aa k aa q k sx i d d aa q
ఆకాంక్షిస్తున్నట్లు	aa k aa q k sx i s t u n n a tx l u
ఆకాంక్షించారు	aa k aa q k sx i q c aa r u
ఆకివీడు	aa k i w ii dx u
ఆకుకూరలు	aa k u k uu r a l u
ఆకుటుంబ	aa k u tx u q b a
ఆకుపచ్చ	aa k u p a c c a
ఆకుల	aa k u l a
ఆకులు	aa k u l u
ఆకులూ	aa k u l uu
ఆకుల్ని	aa k u l n i
ఆకృతిలో	aa k rq t i l oo
ఆకృతులు	aa k rq t u l u
ఆకృతుల్లో	aa k rq t u l l oo
ఆక్టన్	aa k tx a n
ఆక్రమణ	aa k r a m a nx a
ఆక్రమణదారులపై	aa k r a m a nx a d aa r u l a p ai
ఆక్రమణలను	aa k r a m a nx a l a n u
ఆక్రమణలపై	aa k r a m a nx a l a p ai
ఆక్రమణలు	aa k r a m a nx a l u
ఆక్రమించి	aa k r a m i q c i
ఆక్రమించుకున్న	aa k r a m i q c u k u n n a
ఆక్రమించుకుంటున్నారని	aa k r a m i q c u k u q tx u n n aa r a n i
ఆక్రోశించడం	aa k r oo sh i q c a dx a q
ఆక్రోశం	aa k r oo sh a q
ఆక్వా	aa k w aa
ఆక్షేపనీయమే	aa k sx ee p a n ii y m ee
ఆఖరి	aa kh a r i
ఆఖరికి	aa kh a r i k i
ఆఖరు	aa kh a r u
ఆఖర్లో	aa kh a r l oo
ఆగకుండా	aa g a k u q dx aa
ఆగడాలకు	aa g a dx aa l a k u
ఆగడాలు	aa g a dx aa l u
ఆగడం	aa g a dx a q
ఆగదని	aa g a d a n i
ఆగబోదన్నారు	aa g a b oo d a n n aa r u
ఆగమశాస్త్రాని	aa g a m a sh aa s t r aa n i
ఆగమశాస్త్రానికి	aa g a m a sh aa s t r aa n i k i
ఆగమేఘాల	aa g a m ee gh aa l a
ఆగలేక	aa g a l ee k a
ఆగలేకపోయారా	aa g a l ee k a p oo y aa r aa
ఆగవని	aa g a w a n i
ఆగస్టు	aa g a s tx u
ఆగస్టులో	aa g a s tx u l oo
ఆగారు	aa g aa r u
ఆగాలంటే	aa g aa l a q tx ee
ఆగాల్సి	aa g aa l s i
ఆగి	aa g i
ఆగిన	aa g i n a
ఆగిపోతాడు	aa g i p oo t aa dx u
ఆగిపోతాయి	aa g i p oo t aa y i
ఆగిపోతారా	aa g i p oo t aa r aa
ఆగిపోతాం	aa g i p oo t aa q
ఆగిపోతున్నాయని	aa g i p oo t u n n aa y a n i
ఆగిపోతున్నాయి	aa g i p oo t u n n aa y i
ఆగిపోతున్నారు	aa g i p oo t u n n aa r u
ఆగిపోతుంది	aa g i p oo t u q d i
ఆగిపోతుందేమో	aa g i p oo t u q d ee m oo
ఆగిపోయాడు	aa g i p oo y aa dx u
ఆగిపోయారు	aa g i p oo y aa r u
ఆగిపోయావ్	aa g i p oo y aa w
ఆగిపోయాం	aa g i p oo y aa q
ఆగిపోయి	aa g i p oo y i
ఆగిపోయిన	aa g i p oo y i n a
ఆగిపోయింది	aa g i p oo y i q d i
ఆగిపోయేది	aa g i p oo y ee d i
ఆగిపోవడం	aa g i p oo w a dx a q
ఆగిరిపల్లి	aa g i r i p a l l i
ఆగుతరా	aa g u t a r aa
ఆగుతాడు	aa g u t aa dx u
ఆగుపోతుందని	aa g u p oo t u q d a n i
ఆగేయదిశగా	aa g ee y a d i sh a g aa
ఆగండి	aa g a q dx i
ఆగంతకులు	aa g a q t a k u l u
ఆగ్	aa g
ఆగ్నేయ	aa g n ee y a
ఆగ్రహజ్వాలలను	aa g r a h a j w aa l a l a n u
ఆగ్రహజ్వాలలు	aa g r a h a j w aa l a l u
ఆగ్రహత	aa g r a h a t a
ఆగ్రహాని	aa g r a h aa n i
ఆగ్రహానికి	aa g r a h aa n i k i
ఆగ్రహాన్ని	aa g r a h aa n n i
ఆగ్రహిస్తే	aa g r a h i s t ee
ఆగ్రహించడం	aa g r a h i q c a dx a q
ఆగ్రహించారు	aa g r a h i q c aa r u
ఆగ్రహించి	aa g r a h i q c i
ఆగ్రహించిన	aa g r a h i q c i n a
ఆగ్రహం	aa g r a h a q
ఆగ్రహంకేంద్ర	aa g r a h a q k ee q d r a
ఆగ్రహంగా	aa g r a h a q g aa
ఆగ్రహంతో	aa g r a h a q t oo
ఆగ్రా	aa g r aa
ఆగ్రోకు	aa g r oo k u
ఆచరణలో	aa c a r a nx a l oo
ఆచరణలోకి	aa c a r a nx a l oo k i
ఆచరణాత్మకమైన	aa c a r a nx aa t m a k a m ai n a
ఆచరాల్కి	aa c a r aa l k i
ఆచరిస్తున్నారు	aa c a r i s t u n n aa r u
ఆచరిస్తుంనారు	aa c a r i s t u q n aa r u
ఆచరిస్తూ	aa c a r i s t uu
ఆచరించడానికి	aa c a r i q c a dx aa n i k i
ఆచరించారు	aa c a r i q c aa r u
ఆచరించి	aa c a r i q c i
ఆచరించినట్టు	aa c a r i q c i n a tx tx u
ఆచరించేందుకు	aa c a r i q c ee q d u k u
ఆచార	aa c aa r a
ఆచారములు	aa c aa r a m u l u
ఆచారాలకు	aa c aa r aa l a k u
ఆచారాలు	aa c aa r aa l u
ఆచారం	aa c aa r a q
ఆచార్య	aa c aa r y a
ఆచితూచి	aa c i t uu c i
ఆచూకి	aa c uu k i
ఆచూకీ	aa c uu k ii
ఆచంట	aa c a q tx a
ఆచ్చర్య	aa c c a r y a
ఆచ్రేకర్	aa c r ee k a r
ఆజమాయిషీ	aa j a m aa y i sx ii
ఆజాది	aa j aa d i
ఆజాద్	aa j aa d
ఆజ్యం	aa j y a q
ఆట	aa tx a
ఆటకు	aa tx a k u
ఆటగళ్ళను	aa tx a g a lx lx a n u
ఆటగాడని	aa tx a g aa dx a n i
ఆటగాడికైనా	aa tx a g aa dx i k ai n aa
ఆటగాడిగా	aa tx a g aa dx i g aa
ఆటగాడిని	aa tx a g aa dx i n i
ఆటగాడు	aa tx a g aa dx u
ఆటగాడైన	aa tx a g aa dx ai n a
ఆటగాళ్ల	aa tx a g aa lx l a
ఆటగాళ్లకు	aa tx a g aa lx l a k u
ఆటగాళ్లతో	aa tx a g aa lx l a t oo
ఆటగాళ్లను	aa tx a g aa lx l a n u
ఆటగాళ్లు	aa tx a g aa lx l u
ఆటగాళ్ళ	aa tx a g aa lx lx a
ఆటగాళ్ళకు	aa tx a g aa lx lx a k u
ఆటగాళ్ళను	aa tx a g aa lx lx a n u
ఆటగాళ్ళు	aa tx a g aa lx lx u
ఆటగాళ్ళొ	aa tx a g aa lx lx o
ఆటతీరు	aa tx a t ii r u
ఆటతీరుతో	aa tx a t ii r u t oo
ఆటతీరును	aa tx a t ii r u n u
ఆటని	aa tx a n i
ఆటను	aa tx a n u
ఆటపాటలతో	aa tx a p aa tx a l a t oo
ఆటపాటలు	aa tx a p aa tx a l u
ఆటపాటలుఈ	aa tx a p aa tx a l u ii
ఆటపై	aa tx a p ai
ఆటబొమ్మల	aa tx a b o m m a l a
ఆటలకు	aa tx a l a k u
ఆటలపైన	aa tx a l a p ai n a
ఆటలా	aa tx a l aa
ఆటలు	aa tx a l u
ఆటలో	aa tx a l oo
ఆటలంటే	aa tx a l a q tx ee
ఆటల్లో	aa tx a l l oo
ఆటవిడుపు	aa tx a w i dx u p u
ఆటా	aa tx aa
ఆటాపాటలతో	aa tx aa p aa tx a l a t oo
ఆటామస్	aa tx aa m a s
ఆటి	aa tx i
ఆటో	aa tx oo
ఆటోకు	aa tx oo k u
ఆటోను	aa tx oo n u
ఆటోలో	aa tx oo l oo
ఆటోల్లో	aa tx oo l l oo
ఆటోవాలాలను	aa tx oo w aa l aa l a n u
ఆటంకమవుతుందన్నారు	aa tx a q k a m a w u t u q d a n n aa r u
ఆటంకమూ	aa tx a q k a m uu
ఆటంకాన్ని	aa tx a q k aa n n i
ఆటంకాలు	aa tx a q k aa l u
ఆటంకం	aa tx a q k a q
ఆటంకంగా	aa tx a q k a q g aa
ఆట్లిని	aa tx l i n i
ఆడ	aa dx a
ఆడకపోవడం	aa dx a k a p oo w a dx a q
ఆడగల	aa dx a g a l a
ఆడటానికి	aa dx a tx aa n i k i
ఆడటం	aa dx a tx a q
ఆడటంలో	aa dx a tx a q l oo
ఆడడానికి	aa dx a dx aa n i k i
ఆడడం	aa dx a dx a q
ఆడతరండి	aa dx a t a r a q dx i
ఆడతా	aa dx a t aa
ఆడతాడు	aa dx a t aa dx u
ఆడతారని	aa dx a t aa r a n i
ఆడతారు	aa dx a t aa r u
ఆడతావా	aa dx a t aa w aa
ఆడతాం	aa dx a t aa q
ఆడది	aa dx a d i
ఆడనివ్వాలని	aa dx a n i w w aa l a n i
ఆడపడచు	aa dx a p a dx a c u
ఆడపడుచు	aa dx a p a dx u c u
ఆడపడుచులకు	aa dx a p a dx u c u l a k u
ఆడపడుచులు	aa dx a p a dx u c u l u
ఆడపడుచులేమో	aa dx a p a dx u c u l ee m oo
ఆడపిల్ల	aa dx a p i l l a
ఆడపిల్లకి	aa dx a p i l l a k i
ఆడపిల్లకు	aa dx a p i l l a k u
ఆడపిల్లగా	aa dx a p i l l a g aa
ఆడపిల్లని	aa dx a p i l l a n i
ఆడపిల్లను	aa dx a p i l l a n u
ఆడపిల్లనే	aa dx a p i l l a n ee
ఆడపిల్లయితే	aa dx a p i l l a y i t ee
ఆడపిల్లలకి	aa dx a p i l l a l a k i
ఆడపిల్లలకు	aa dx a p i l l a l a k u
ఆడపిల్లలని	aa dx a p i l l a l a n i
ఆడపిల్లలు	aa dx a p i l l a l u
ఆడపిల్లలే	aa dx a p i l l a l ee
ఆడపిల్లలేమో	aa dx a p i l l a l ee m oo
ఆడపిల్లలోని	aa dx a p i l l a l oo n i
ఆడపిల్లలం	aa dx a p i l l a l a q
ఆడపిల్లవు	aa dx a p i l l a w u
ఆడపిల్లే	aa dx a p i l l ee
ఆడబిడ్డను	aa dx a b i dx dx a n u
ఆడబిడ్డలు	aa dx a b i dx dx a l u
ఆడబిల్లలకు	aa dx a b i l l a l a k u
ఆడరు	aa dx a r u
ఆడలేరు	aa dx a l ee r u
ఆడవారి	aa dx a w aa r i
ఆడవారికి	aa dx a w aa r i k i
ఆడవాల్లె	aa dx a w aa l l e
ఆడవాళ్ల	aa dx a w aa lx l a
ఆడవాళ్లను	aa dx a w aa lx l a n u
ఆడవాళ్ళకి	aa dx a w aa lx lx a k i
ఆడవాళ్ళతో	aa dx a w aa lx lx a t oo
ఆడవాళ్ళూ	aa dx a w aa lx lx uu
ఆడశిశువు	aa dx a sh i sh u w u
ఆడాడని	aa dx aa dx a n i
ఆడాడు	aa dx aa dx u
ఆడాను	aa dx aa n u
ఆడారు	aa dx aa r u
ఆడాలని	aa dx aa l a n i
ఆడాలి	aa dx aa l i
ఆడాలో	aa dx aa l oo
ఆడాలంటే	aa dx aa l a q tx ee
ఆడి	aa dx i
ఆడికి	aa dx i k i
ఆడికెల్లి	aa dx i k e l l i
ఆడిటోరియాలలో	aa dx i tx oo r i y aa l a l oo
ఆడిటోరియంలో	aa dx i tx oo r i y a q l oo
ఆడితే	aa dx i t ee
ఆడిది	aa dx i d i
ఆడిన	aa dx i n a
ఆడినట్లు	aa dx i n a tx l u
ఆడియో	aa dx i y oo
ఆడియోకు	aa dx i y oo k u
ఆడియోలోని	aa dx i y oo l oo n i
ఆడియోల్లో	aa dx i y oo l l oo
ఆడిస్తారు	aa dx i s t aa r u
ఆడిస్తున్నాడని	aa dx i s t u n n aa dx a n i
ఆడిస్తేనే	aa dx i s t ee n ee
ఆడించడం	aa dx i q c a dx a q
ఆడించి	aa dx i q c i
ఆడిందనే	aa dx i q d a n ee
ఆడింది	aa dx i q d i
ఆడు	aa dx u
ఆడుకుని	aa dx u k u n i
ఆడుకునే	aa dx u k u n ee
ఆడుకున్నట్టుగా	aa dx u k u n n a tx tx u g aa
ఆడుకున్నా	aa dx u k u n n aa
ఆడుకున్నారు	aa dx u k u n n aa r u
ఆడుకుంటాను	aa dx u k u q tx aa n u
ఆడుకుంటామని	aa dx u k u q tx aa m a n i
ఆడుకుంటారా	aa dx u k u q tx aa r aa
ఆడుకుంటారు	aa dx u k u q tx aa r u
ఆడుకుంటాం	aa dx u k u q tx aa q
ఆడుకుంటున్న	aa dx u k u q tx u n n a
ఆడుకుంటున్నారు	aa dx u k u q tx u n n aa r u
ఆడుకుంటే	aa dx u k u q tx ee
ఆడుకుంటోంది	aa dx u k u q tx oo q d i
ఆడుకొని	aa dx u k o n i
ఆడుకొనే	aa dx u k o n ee
ఆడుకోవడానికి	aa dx u k oo w a dx aa n i k i
ఆడుకోవడం	aa dx u k oo w a dx a q
ఆడుకోవాలని	aa dx u k oo w aa l a n i
ఆడుకోండి	aa dx u k oo q dx i
ఆడుతానండి	aa dx u t aa n a q dx i
ఆడుతాం	aa dx u t aa q
ఆడుతున్న	aa dx u t u n n a
ఆడుతున్నా	aa dx u t u n n aa
ఆడుతున్నాడు	aa dx u t u n n aa dx u
ఆడుతున్నాను	aa dx u t u n n aa n u
ఆడుతున్నారని	aa dx u t u n n aa r a n i
ఆడుతున్నారు	aa dx u t u n n aa r u
ఆడుతువుంటార	aa dx u t u w u q tx aa r a
ఆడుతుంటారు	aa dx u t u q tx aa r u
ఆడుతుంది	aa dx u t u q d i
ఆడుతుందో	aa dx u t u q d oo
ఆడే	aa dx ee
ఆడేదాన్ని	aa dx ee d aa n n i
ఆడేవారు	aa dx ee w aa r u
ఆడేస్తుంటారు	aa dx ee s t u q tx aa r u
ఆడేందుకు	aa dx ee q d u k u
ఆడోళ్ళకి	aa dx oo lx lx a k i
ఆడంబరాలకు	aa dx a q b a r aa l a k u
ఆడంబరంగా	aa dx a q b a r a q g aa
ఆడ్డుకుంటున్నారు	aa dx dx u k u q tx u n n aa r u
ఆతడి	aa t a dx i
ఆతనితో	aa t a n i t oo
ఆతర్వాత	aa t a r w aa t a
ఆతిథ్య	aa t i th y a
ఆతిథ్యం	aa t i th y a q
ఆతురతతో	aa t u r a t a t oo
ఆత్కూరు	aa t k uu r u
ఆత్మ	aa t m a
ఆత్మకథలోని	aa t m a k a th a l oo n i
ఆత్మకు	aa t m a k u
ఆత్మకూరు	aa t m a k uu r u
ఆత్మగౌరవ	aa t m a g au r a w a
ఆత్మగౌరవమని	aa t m a g au r a w a m a n i
ఆత్మగౌరవానికి	aa t m a g au r a w aa n i k i
ఆత్మగౌరవాన్ని	aa t m a g au r a w aa n n i
ఆత్మగౌరవం	aa t m a g au r a w a q
ఆత్మబంధువుని	aa t m a b a q dh u w u n i
ఆత్మరక్షణ	aa t m a r a k sx a nx a
ఆత్మరక్షణలో	aa t m a r a k sx a nx a l oo
ఆత్మలకు	aa t m a l a k u
ఆత్మలు	aa t m a l u
ఆత్మవిశ్వాసాన్ని	aa t m a w i sh w aa s aa n n i
ఆత్మవిశ్వాసం	aa t m a w i sh w aa s a q
ఆత్మవిశ్వాసంతో	aa t m a w i sh w aa s a q t oo
ఆత్మస్థైర్యం	aa t m a s th ai r y a q
ఆత్మహతలకు	aa t m a h a t a l a k u
ఆత్మహత్య	aa t m a h a t y a
ఆత్మహత్యకు	aa t m a h a t y a k u
ఆత్మహత్యగా	aa t m a h a t y a g aa
ఆత్మహత్యనల్గొండ	aa t m a h a t y a n a l g o q dx a
ఆత్మహత్యను	aa t m a h a t y a n u
ఆత్మహత్యపై	aa t m a h a t y a p ai
ఆత్మహత్యయతానికి	aa t m a h a t y a y a t aa n i k i
ఆత్మహత్యల	aa t m a h a t y a l a
ఆత్మహత్యలకు	aa t m a h a t y a l a k u
ఆత్మహత్యలను	aa t m a h a t y a l a n u
ఆత్మహత్యలపై	aa t m a h a t y a l a p ai
ఆత్మహత్యలు	aa t m a h a t y a l u
ఆత్మహత్యా	aa t m a h a t y aa
ఆత్మహత్యాకు	aa t m a h a t y aa k u
ఆత్మహత్యాయత్నానికి	aa t m a h a t y aa y a t n aa n i k i
ఆత్మహత్యాయత్నాలు	aa t m a h a t y aa y a t n aa l u
ఆత్మహత్యాయత్నం	aa t m a h a t y aa y a t n a q
ఆత్మహత్యాయనికి	aa t m a h a t y aa y a n i k i
ఆత్మాహుతి	aa t m aa h u t i
ఆత్మీయ	aa t m ii y a
ఆత్మీయత	aa t m ii y a t a
ఆత్మీయతకే	aa t m ii y a t a k ee
ఆత్మీయతతో	aa t m ii y a t a t oo
ఆత్మీయతను	aa t m ii y a t a n u
ఆత్మీయతల్లో	aa t m ii y a t a l l oo
ఆత్యది	aa t y a d i
ఆత్రం	aa t r a q
ఆదరణ	aa d a r a nx a
ఆదరణను	aa d a r a nx a n u
ఆదరాబాదరాగా	aa d a r aa b aa d a r aa g aa
ఆదరాభిమానాన్ని	aa d a r aa bh i m aa n aa n n i
ఆదరాభిమానాలని	aa d a r aa bh i m aa n aa l a n i
ఆదరిస్తారని	aa d a r i s t aa r a n i
ఆదరిస్తారన్నారు	aa d a r i s t aa r a n n aa r u
ఆదరిస్తూ	aa d a r i s t uu
ఆదరించమని	aa d a r i q c a m a n i
ఆదరించారు	aa d a r i q c aa r u
ఆదరించే	aa d a r i q c ee
ఆదర్శ	aa d a r sh a
ఆదర్శం	aa d a r sh a q
ఆదర్శంగా	aa d a r sh a q g aa
ఆదర్శంగానే	aa d a r sh a q g aa n ee
ఆదర్సమని	aa d a r s a m a n i
ఆదా	aa d aa
ఆదాయ	aa d aa y a
ఆదాయపన్ను	aa d aa y a p a n n u
ఆదాయపు	aa d aa y a p u
ఆదాయానికి	aa d aa y aa n i k i
ఆదాయాన్ని	aa d aa y aa n n i
ఆదాయాన్నే	aa d aa y aa n n ee
ఆదాయాలకు	aa d aa y aa l a k u
ఆదాయం	aa d aa y a q
ఆదాయంతోపాటు	aa d aa y a q t oo p aa tx u
ఆదాయంపై	aa d aa y a q p ai
ఆదాయంపైన	aa d aa y a q p ai n a
ఆదాయంలో	aa d aa y a q l oo
ఆదారపడి	aa d aa r a p a dx i
ఆదారాలను	aa d aa r aa l a n u
ఆదారాలు	aa d aa r aa l u
ఆదార్	aa d aa r
ఆదాల	aa d aa l a
ఆది	aa d i
ఆదికేశవుల	aa d i k ee sh a w u l a
ఆదిత్య	aa d i t y a
ఆదిత్యనాథ్	aa d i t y a n aa th
ఆదినారాయణ	aa d i n aa r aa y a nx a
ఆదినారాయణను	aa d i n aa r aa y a nx a n u
ఆదినారాయణరెడ్డిని	aa d i n aa r aa y a nx a r e dx dx i n i
ఆదిపరాశక్తి	aa d i p a r aa sh a k t i
ఆదిరెడ్డికి	aa d i r e dx dx i k i
ఆదిలక్ష్మి	aa d i l a k sx m i
ఆదిలాబాద్	aa d i l aa b aa d
ఆదివారమూ	aa d i w aa r a m uu
ఆదివారాలు	aa d i w aa r aa l u
ఆదివారం	aa d i w aa r a q
ఆదివారంనాడు	aa d i w aa r a q n aa dx u
ఆదివాసీ	aa d i w aa s ii
ఆదివాసీలకు	aa d i w aa s ii l a k u
ఆదివాసీలను	aa d i w aa s ii l a n u
ఆదివాసుల	aa d i w aa s u l a
ఆదిశక్తి	aa d i sh a k t i
ఆదిశేషగిరి	aa d i sh ee sx a g i r i
ఆదిశేషు	aa d i sh ee sx u
ఆదుకునే	aa d u k u n ee
ఆదుకునేవారు	aa d u k u n ee w aa r u
ఆదుకునేందుకు	aa d u k u n ee q d u k u
ఆదుకున్న	aa d u k u n n a
ఆదుకున్నాడనే	aa d u k u n n aa dx a n ee
ఆదుకుంటామని	aa d u k u q tx aa m a n i
ఆదుకుంటున్నామన్నారు	aa d u k u q tx u n n aa m a n n aa r u
ఆదుకుంటుమన్నారు	aa d u k u q tx u m a n n aa r u
ఆదుకోకపోతే	aa d u k oo k a p oo t ee
ఆదుకోమంటే	aa d u k oo m a q tx ee
ఆదుకోవడానికి	aa d u k oo w a dx aa n i k i
ఆదుకోవడం	aa d u k oo w a dx a q
ఆదుకోవడంలో	aa d u k oo w a dx a q l oo
ఆదుకోవాలని	aa d u k oo w aa l a n i
ఆదుకోవాలి	aa d u k oo w aa l i
ఆదుల	aa d u l a
ఆదే	aa d ee
ఆదేవుడు	aa d ee w u dx u
ఆదేశా	aa d ee sh aa
ఆదేశాల	aa d ee sh aa l a
ఆదేశాలకి	aa d ee sh aa l a k i
ఆదేశాలతో	aa d ee sh aa l a t oo
ఆదేశాలను	aa d ee sh aa l a n u
ఆదేశాలపై	aa d ee sh aa l a p ai
ఆదేశాలమేరకు	aa d ee sh aa l a m ee r a k u
ఆదేశాలిచ్చారు	aa d ee sh aa l i c c aa r u
ఆదేశాలిచ్చి	aa d ee sh aa l i c c i
ఆదేశాలిచ్చింది	aa d ee sh aa l i c c i q d i
ఆదేశాలు	aa d ee sh aa l u
ఆదేశాల్లో	aa d ee sh aa l l oo
ఆదేశి	aa d ee sh i
ఆదేశిక	aa d ee sh i k a
ఆదేశిరచారు	aa d ee sh i r a c aa r u
ఆదేశిరచిరది	aa d ee sh i r a c i r a d i
ఆదేశిస్తున్నట్లు	aa d ee sh i s t u n n a tx l u
ఆదేశిం	aa d ee sh i q
ఆదేశించకుండానే	aa d ee sh i q c a k u q dx aa n ee
ఆదేశించడానికి	aa d ee sh i q c a dx aa n i k i
ఆదేశించడం	aa d ee sh i q c a dx a q
ఆదేశించడంతో	aa d ee sh i q c a dx a q t oo
ఆదేశించానన్నారు	aa d ee sh i q c aa n a n n aa r u
ఆదేశించామని	aa d ee sh i q c aa m a n i
ఆదేశించారు	aa d ee sh i q c aa r u
ఆదేశించాలన్నారు	aa d ee sh i q c aa l a n n aa r u
ఆదేశించి	aa d ee sh i q c i
ఆదేశించిన	aa d ee sh i q c i n a
ఆదేశించినట్లు	aa d ee sh i q c i n a tx l u
ఆదేశించిందన్నారు	aa d ee sh i q c i q d a n n aa r u
ఆదేశించింది	aa d ee sh i q c i q d i
ఆదేశంతో	aa d ee sh a q t oo
ఆదోని	aa d oo n i
ఆదోనిలో	aa d oo n i l oo
ఆద్మీ	aa d m ii
ఆద్యా	aa d y aa
ఆద్యంతమూ	aa d y a q t a m uu
ఆద్యంతం	aa d y a q t a q
ఆధాయ	aa dh aa y a
ఆధాయపు	aa dh aa y a p u
ఆధార	aa dh aa r a
ఆధారపడలేదని	aa dh aa r a p a dx a l ee d a n i
ఆధారపడాల్సిన	aa dh aa r a p a dx aa l s i n a
ఆధారపడి	aa dh aa r a p a dx i
ఆధారపడిన	aa dh aa r a p a dx i n a
ఆధారపడుతాడు	aa dh aa r a p a dx u t aa dx u
ఆధారపడుతున్నందు	aa dh aa r a p a dx u t u n n a q d u
ఆధారపడే	aa dh aa r a p a dx ee
ఆధారపడేలా	aa dh aa r a p a dx ee l aa
ఆధారపడేవారు	aa dh aa r a p a dx ee w aa r u
ఆధారమైన	aa dh aa r a m ai n a
ఆధారా	aa dh aa r aa
ఆధారాలతో	aa dh aa r aa l a t oo
ఆధారాలు	aa dh aa r aa l u
ఆధారాలున్నాయని	aa dh aa r aa l u n n aa y a n i
ఆధారాలూ	aa dh aa r aa l uu
ఆధారాల్లేకుండా	aa dh aa r aa l l ee k u q dx aa
ఆధారిత	aa dh aa r i t a
ఆధారులు	aa dh aa r u l u
ఆధారం	aa dh aa r a q
ఆధారంగా	aa dh aa r a q g aa
ఆధారంగానే	aa dh aa r a q g aa n ee
ఆధారంగు	aa dh aa r a q g u
ఆధార్	aa dh aa r
ఆధికారులను	aa dh i k aa r u l a n u
ఆధిక్యం	aa dh i k y a q
ఆధిపత్య	aa dh i p a t y a
ఆధిపత్యవాదుల	aa dh i p a t y a w aa d u l a
ఆధిపత్యం	aa dh i p a t y a q
ఆధిపత్యంలో	aa dh i p a t y a q l oo
ఆధీనం	aa dh ii n a q
ఆధీనంలో	aa dh ii n a q l oo
ఆధునిక	aa dh u n i k a
ఆధునికతను	aa dh u n i k a t a n u
ఆధునికీకరణ	aa dh u n i k ii k a r a nx a
ఆధునీక	aa dh u n ii k a
ఆధునీకరించనున్నారు	aa dh u n ii k a r i q c a n u n n aa r u
ఆధునీకరంగా	aa dh u n ii k a r a q g aa
ఆధోనిక	aa dh oo n i k a
ఆధ్యర్యాన	aa dh y a r y aa n a
ఆధ్యర్యంలో	aa dh y a r y a q l oo
ఆధ్యాత్మిక	aa dh y aa t m i k a
ఆధ్యాత్మికంగా	aa dh y aa t m i k a q g aa
ఆధ్యాత్మికంపైన	aa dh y aa t m i k a q p ai n a
ఆధ్యంతము	aa dh y a q t a m u
ఆధ్వర్యాన	aa dh w a r y aa n a
ఆధ్వర్యంలో	aa dh w a r y a q l oo
ఆధ్వర్యంలోని	aa dh w a r y a q l oo n i
ఆనకట్ట	aa n a k a tx tx a
ఆనకట్టను	aa n a k a tx tx a n u
ఆనకట్టలను	aa n a k a tx tx a l a n u
ఆనవాయితీ	aa n a w aa y i t ii
ఆనవాయితీగా	aa n a w aa y i t ii g aa
ఆనవాళ్లను	aa n a w aa lx l a n u
ఆనవాళ్లు	aa n a w aa lx l u
ఆనవాళ్ళు	aa n a w aa lx lx u
ఆనసుంచారు	aa n a s u q c aa r u
ఆనాడు	aa n aa dx u
ఆనారోగ్యము	aa n aa r oo g y a m u
ఆనారోగ్యం	aa n aa r oo g y a q
ఆనుకుని	aa n u k u n i
ఆనుకుంటున్నారు	aa n u k u q tx u n n aa r u
ఆనుకొని	aa n u k o n i
ఆనూరు	aa n uu r u
ఆనేసి	aa n ee s i
ఆనోట	aa n oo tx a
ఆనం	aa n a q
ఆనంతపురం	aa n a q t a p u r a q
ఆనంతరం	aa n a q t a r a q
ఆనంద	aa n a q d a
ఆనందపురం	aa n a q d a p u r a q
ఆనందబజార్	aa n a q d a b a j aa r
ఆనందాన్ని	aa n a q d aa n n i
ఆనందిద్దాం	aa n a q d i d d aa q
ఆనందిస్తానని	aa n a q d i s t aa n a n i
ఆనందిస్తారని	aa n a q d i s t aa r a n i
ఆనందించారని	aa n a q d i q c aa r a n i
ఆనందోత్సాహాల్లో	aa n a q d oo t s aa h aa l l oo
ఆనందం	aa n a q d a q
ఆనందంగా	aa n a q d a q g aa
ఆనందంగానే	aa n a q d a q g aa n ee
ఆనందంతో	aa n a q d a q t oo
ఆనందంప్రణబ్	aa n a q d a q p r a nx a b
ఆనందంలో	aa n a q d a q l oo
ఆనంద్	aa n a q d
ఆన్	aa n
ఆన్నారు	aa n n aa r u
ఆన్స్	aa n s
ఆపగలం	aa p a g a l a q
ఆపడానికి	aa p a dx aa n i k i
ఆపడం	aa p a dx a q
ఆపదలో	aa p a d a l oo
ఆపద్బంధు	aa p a d b a q dh u
ఆపబోమని	aa p a b oo m a n i
ఆపరా	aa p a r aa
ఆపరేటర్లు	aa p a r ee tx a r l u
ఆపరేటింగ్	aa p a r ee tx i q g
ఆపరేషన్	aa p a r ee sx a n
ఆపలేకపోయారు	aa p a l ee k a p oo y aa r u
ఆపలేదు	aa p a l ee d u
ఆపాడు	aa p aa dx u
ఆపాదిస్తున్నారని	aa p aa d i s t u n n aa r a n i
ఆపాదించి	aa p aa d i q c i
ఆపాలని	aa p aa l a n i
ఆపాలన్నారు	aa p aa l a n n aa r u
ఆపి	aa p i
ఆపినట్లు	aa p i n a tx l u
ఆపిల్	aa p i l
ఆపిల్స్	aa p i l s
